% Model:              2d.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 14:46
% Dimension:          2
% Nodes:              21311
% Expressions:        3
% Description:        Velocity field, r component, Velocity field, z component, Pressure
% Length unit:        m
% r                       z                        u (m/s)                  w (m/s)                  p (Pa)
1.0E-4                    0.0028                   -0.022891056851654844    3.340934758396081        0.9995842296197541
1.0E-4                    0.0029000000000000002    -0.02302240614724331     3.3872338615052504       0.999563242813263
1.0E-4                    0.003                    -0.02302240614724331     3.4337189007653617       0.9995422065178069
1.0E-4                    0.0031000000000000003    -0.025627950734781833    3.4829237551278833       0.9995201354509713
1.0E-4                    0.0032                   -0.02727458831265623     3.5356513709762165       0.9994969569899677
1.0E-4                    0.0033                   -0.02727458831265623     3.590723524406871        0.9994730957016962
1.0E-4                    0.0034000000000000002    -0.028538708904775386    3.6471027077037648       0.9994486861612073
1.0E-4                    0.0035                   -0.03213341432734238     3.7068449135857717       0.9994229216726704
1.0E-4                    0.0036000000000000003    -0.03213341432734237     3.771740458686681        0.9993955139741952
1.0E-4                    0.0037                   -0.03213341432734237     3.8366360037875906       0.9993681062757203
1.0E-4                    0.0038                   -0.03619618428687803     3.9056926419040847       0.9993387785236869
1.0E-4                    0.0039000000000000003    -0.03771851073774112     3.979693140949302        0.9993076749880643
1.0E-4                    0.004                    -0.03771851073774112     4.055892511133388        0.9992758085634642
1.0E-4                    0.0041                   -0.040139573112743285    4.134548779765497        0.9992427050040572
1.0E-4                    0.004200000000000001     -0.04417109863642317     4.217951392529242        0.9992074372726161
1.0E-4                    0.0043                   -0.04417109863642317     4.307221598901895        0.9991699375133392
1.0E-4                    0.0044                   -0.04434339436049956     4.396665126050138        0.9991323411981423
1.0E-4                    0.0045000000000000005    -0.050476889076968026    4.492105317586549        0.9990914041787227
1.0E-4                    0.0046                   -0.051651771009156626    4.59481195177007         0.9990474279029482
1.0E-4                    0.0047                   -0.051651771009156626    4.699240279610423        0.999002731512994
1.0E-4                    0.0048000000000000004    -0.05591437713308129     4.807934712656226        0.9989555543166524
1.0E-4                    0.0049                   -0.060342021123333506    4.923459647183362        0.9989048679819492
1.0E-4                    0.005                    -0.060342021123333506    5.045513665121044        0.9988511460764782
1.0E-4                    0.0051                   -0.06174298101121654     5.168960011631334        0.9987964580400082
1.0E-4                    0.005200000000000001     -0.07000659311701905     5.299226729552341        0.9987370373762154
1.0E-4                    0.0053                   -0.07043968589725187     5.441090029345791        0.9986718708327618
1.0E-4                    0.0054                   -0.07043968589725187     5.583594716469445        0.9986063864944219
1.0E-4                    0.0055000000000000005    -0.0775274436430336      5.73316392271553         0.9985360909801811
1.0E-4                    0.0056                   -0.08215875517630163     5.892509872975362        0.9984594923182035
1.0E-4                    0.0057                   -0.08215875517630163     6.0587185314436525       0.9983785533848686
1.0E-4                    0.0058000000000000005    -0.08562289775421848     6.228434620743707        0.9982952189288989
1.0E-4                    0.0059                   -0.0957062811252492      6.407097374765003        0.9982055775493401
1.0E-4                    0.006                    -0.0957062811252492      6.600534867808042        0.9981036583128343
1.0E-4                    0.0061                   -0.09570628112524918     6.7939723608510825       0.9980017390763285
1.0E-4                    0.006200000000000001     -0.10672888355395763     6.998806355703853        0.997890948396768
1.0E-4                    0.0063                   -0.11070949839679527     7.216840908924921        0.9977696843243324
1.0E-4                    0.0064                   -0.11070949839679524     7.440757791128376        0.9976437447754529
1.0E-4                    0.006500000000000001     -0.11875909736985787     7.672867912250743        0.9975136075050699
1.0E-4                    0.0066                   -0.12613826316174995     7.917780362043333        0.9973736401181947
1.0E-4                    0.0067                   -0.12613826316174995     8.174167682179451        0.9972231883558176
1.0E-4                    0.0068000000000000005    -0.13486735611690118     8.438218447543306        0.9970552904223289
1.0E-4                    0.006900000000000001     -0.14213547944812432     8.715680812083809        0.9968772005326803
1.0E-4                    0.007                    -0.14213547944812432     9.003834549189722        0.9966984030825642
1.0E-4                    0.0071                   -0.15405628641682345     9.303490191100103        0.9965151392298329
1.0E-4                    0.007200000000000001     -0.1599145579741378      9.619321067254017        0.9963155353540791
1.0E-4                    0.0073                   -0.1599145579741378      9.943561794776592        0.9961062434240269
1.0E-4                    0.0074                   -0.1718868383658406      10.278203729577111       0.9958656059296742
1.0E-4                    0.007500000000000001     -0.17864052073993938     10.631143323493543       0.9955954261381679
1.0E-4                    0.0076                   -0.17864052073993936     10.99394970315951        0.995313153756731
1.0E-4                    0.0077                   -0.18600015428792885     11.363451235762316       0.9950207550002019
1.0E-4                    0.0078000000000000005    -0.19759656038885237     11.747583797741068       0.9947026547870376
1.0E-4                    0.0079                   -0.19759656038885232     12.149393894310027       0.9943484611937582
1.0E-4                    0.008                    -0.19852699741200247     12.552096718070057       0.9939920661288134
1.0E-4                    0.0081                   -0.21172253171641034     12.966567545006836       0.9936066510835081
1.0E-4                    0.0082                   -0.21357341056353038     13.398042059639746       0.9931727026565995
1.0E-4                    0.0083                   -0.21357341056353038     13.83229072338614        0.9927308360157152
1.0E-4                    0.008400000000000001     -0.21854925254116558     14.272048131808292       0.9922650761645094
1.0E-4                    0.0085                   -0.22277407531495486     14.719160632070581       0.9917579898998851
1.0E-4                    0.0086                   -0.22277407531495486     15.172074146057312       0.9912136793032551
